date,bank_name,close_price
9/1/2022,JPM,114.51
9/1/2022,BAC,33.470001
9/1/2022,WFC,43.700001
9/2/2022,Citi,48.84
9/2/2022,JPM,113.71
9/2/2022,BAC,33.43
9/2/2022,WFC,43.380001
9/6/2022,Citi,48.220001
9/6/2022,JPM,113.74
9/6/2022,BAC,33.060001
9/6/2022,WFC,42.880001
9/7/2022,Citi,48.630001
9/7/2022,JPM,115.9
9/7/2022,BAC,33.57
9/7/2022,WFC,43.84
9/8/2022,Citi,49.900002
9/8/2022,JPM,118.6
9/8/2022,BAC,34.650002
9/8/2022,WFC,45.23
9/9/2022,Citi,50.669998
9/9/2022,JPM,119.17
9/9/2022,BAC,34.939999
9/9/2022,WFC,45.330002
9/12/2022,Citi,50.869999
9/12/2022,JPM,120.58
9/12/2022,BAC,35.27
9/12/2022,WFC,45.529999
9/13/2022,Citi,49
9/13/2022,JPM,116.39
9/13/2022,BAC,34
9/13/2022,WFC,43.220001
9/14/2022,Citi,48.43
9/14/2022,JPM,116.12
9/14/2022,BAC,33.869999
9/14/2022,WFC,43.279999
9/15/2022,Citi,48.439999
9/15/2022,JPM,117.87
9/15/2022,BAC,34.509998
9/15/2022,WFC,44.139999
9/16/2022,Citi,48.110001
9/16/2022,JPM,117.08
9/16/2022,BAC,34.119999
9/16/2022,WFC,43.939999
9/19/2022,Citi,48.240002
9/19/2022,JPM,118.16
9/19/2022,BAC,34.689999
9/19/2022,WFC,44.32
9/20/2022,Citi,47.25
9/20/2022,JPM,115.83
9/20/2022,BAC,34.169998
9/20/2022,WFC,43.41
9/21/2022,Citi,46.330002
9/21/2022,JPM,112.49
9/21/2022,BAC,33.150002
9/21/2022,WFC,42.27
9/22/2022,Citi,45.580002
9/22/2022,JPM,111.21
9/22/2022,BAC,32.5
9/22/2022,WFC,41.52
9/23/2022,Citi,44.259998
9/23/2022,JPM,109.14
9/23/2022,BAC,31.73
9/23/2022,WFC,40.41
9/26/2022,Citi,42.990002
9/26/2022,JPM,106.79
9/26/2022,BAC,31.030001
9/26/2022,WFC,40.009998
9/27/2022,Citi,42.59
9/27/2022,JPM,105.85
9/27/2022,BAC,30.57
9/27/2022,WFC,40.029999
9/28/2022,Citi,43.400002
9/28/2022,JPM,107.99
